For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.25
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'], R is -0.65
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.42
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'], R is -0.31
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'relu'], R is -105.67
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.62
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'], R is 0.07
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.16
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'], R is -0.74
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.59
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'], R is -0.08
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.56
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.27
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'], R is -0.62
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'], R is -0.23
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'], R is 0.06
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'relu'], R is -2.64
The best_R for now is 0.0744 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'], R is 0.14
The best_R for now is 0.1358 and combination is [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'], R is 0.12
The best_R for now is 0.1358 and combination is [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'relu'], R is -309.15
The best_R for now is 0.1358 and combination is [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'], R is -0.29
The best_R for now is 0.1358 and combination is [['linear', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'], R is 0.16
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'], R is -0.11
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'], R is -0.00
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'], R is -1.05
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'], R is 0.04
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'relu'], R is -31.91
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'linear'], R is -0.13
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'], R is 0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['linear', 120], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -2.98
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -0.71
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.10
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -1.82
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -4.19
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.49
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -3.43
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -1.44
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -3.25
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -1.53
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -0.63
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -1.70
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -0.80
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -1.61
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.32
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['tanh', 120], 'linear'], R is -5.13
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['tanh', 120], 'tanh'], R is -7.11
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['tanh', 120], 'relu'], R is -1.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['tanh', 120], 'linear'], R is -10.10
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['tanh', 120], 'tanh'], R is 0.01
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['tanh', 120], 'relu'], R is -0.24
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['tanh', 120], 'linear'], R is -11.54
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['tanh', 120], 'tanh'], R is -4.45
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['tanh', 120], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['tanh', 120], 'linear'], R is -0.63
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['tanh', 120], 'tanh'], R is -4.85
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['tanh', 120], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['tanh', 120], 'linear'], R is -4.22
