For this combination [['relu', 50], ['relu', 50], ['relu', 50], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 50], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 50], ['relu', 50], 'relu'], R is -2.68
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 50], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 50], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 50], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 50], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 50], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 50], ['relu', 75], 'relu'], R is -0.17
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 50], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 50], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 50], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 50], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 50], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 50], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 50], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 50], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 50], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 50], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 50], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 50], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 50], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 50], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 50], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 50], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 50], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 50], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 50], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 50], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 50], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 50], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 50], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 50], ['relu', 150], 'relu'], R is -5.11
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 50], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 50], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 50], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 75], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 75], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 75], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 75], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 75], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 75], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 75], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 75], ['relu', 75], 'relu'], R is -0.56
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 75], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 75], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 75], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 75], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 75], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 75], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 75], ['relu', 100], 'relu'], R is -0.61
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 75], ['relu', 100], 'relu'], R is -0.09
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 75], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 75], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 75], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 75], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 75], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 75], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 75], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 75], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 75], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 75], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 75], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 75], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 75], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 75], ['relu', 135], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 75], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 75], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 75], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 75], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 75], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 75], ['relu', 150], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 100], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 100], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 100], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 100], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 100], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 100], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 100], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 100], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 100], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 100], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 100], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 100], ['relu', 75], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 100], ['relu', 100], 'relu'], R is -0.13
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 75], ['relu', 50], ['relu', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 100], ['relu', 50], ['relu', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 120], ['relu', 50], ['relu', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 135], ['relu', 50], ['relu', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 150], ['relu', 50], ['relu', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['relu', 50], ['relu', 100], ['relu', 135], 'relu'], R is -0.07
