For this combination [['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 100], ['linear', 100], ['linear', 100], 'tanh'], R is 0.16
The best_R for now is 0.1609 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], 'relu'], R is -5.19
The best_R for now is 0.1609 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], 'elu'], R is 0.03
The best_R for now is 0.1609 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], 'softmax'], R is -45.38
The best_R for now is 0.1609 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], 'softplus'], R is 0.22
The best_R for now is 0.2192 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'softplus'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], 'selu'], R is 0.26
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.45
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], 'tanh'], R is -0.08
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], 'elu'], R is -0.23
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], 'softmax'], R is -45.36
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], 'softplus'], R is 0.23
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], 'selu'], R is -1.53
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.25
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], 'tanh'], R is -0.23
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], 'elu'], R is 0.11
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], 'softmax'], R is -45.43
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], 'softplus'], R is 0.22
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], 'selu'], R is -0.60
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.04
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['linear', 100], 'tanh'], R is 0.13
