For this combination [['tanh', 18], ['tanh', 18], ['tanh', 18], 'tanh'], R is 0.13
The best_R for now is 0.1290 and combination is [['tanh', 18], ['tanh', 18], ['tanh', 18], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['tanh', 18], 'linear'], R is -0.06
The best_R for now is 0.1290 and combination is [['tanh', 18], ['tanh', 18], ['tanh', 18], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.1290 and combination is [['tanh', 18], ['tanh', 18], ['tanh', 18], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['tanh', 18], 'tanh'], R is 0.17
The best_R for now is 0.1680 and combination is [['tanh', 50], ['tanh', 18], ['tanh', 18], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['tanh', 18], 'linear'], R is 0.21
The best_R for now is 0.2065 and combination is [['tanh', 50], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['tanh', 50], ['tanh', 18], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.2065 and combination is [['tanh', 50], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['tanh', 100], ['tanh', 18], ['tanh', 18], 'tanh'], R is 0.17
The best_R for now is 0.2065 and combination is [['tanh', 50], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'], R is 0.21
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['tanh', 100], ['tanh', 18], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['tanh', 18], ['tanh', 18], 'tanh'], R is -0.37
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['tanh', 18], ['tanh', 18], 'linear'], R is 0.09
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['tanh', 18], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 50], ['tanh', 18], ['tanh', 18], 'tanh'], R is -0.19
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 50], ['tanh', 18], ['tanh', 18], 'linear'], R is -0.03
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 50], ['tanh', 18], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 100], ['tanh', 18], ['tanh', 18], 'tanh'], R is -0.08
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 100], ['tanh', 18], ['tanh', 18], 'linear'], R is 0.07
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['linear', 100], ['tanh', 18], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['relu', 18], ['tanh', 18], ['tanh', 18], 'tanh'], R is 0.19
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['relu', 18], ['tanh', 18], ['tanh', 18], 'linear'], R is 0.00
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['relu', 18], ['tanh', 18], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['relu', 50], ['tanh', 18], ['tanh', 18], 'tanh'], R is 0.04
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['relu', 50], ['tanh', 18], ['tanh', 18], 'linear'], R is 0.16
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['relu', 50], ['tanh', 18], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.2077 and combination is [['tanh', 100], ['tanh', 18], ['tanh', 18], 'linear'] For this combination [['relu', 100], ['tanh', 18], ['tanh', 18], 'tanh'], R is 0.21
