For this combination [['tanh', 5], ['tanh', 5], 'tanh'], R is -1.91
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], 'linear'], R is -4.15
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], 'relu'], R is -0.38
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], 'tanh'], R is -2.36
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], 'linear'], R is -8.61
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], 'relu'], R is -0.15
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], 'tanh'], R is -3.85
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], 'linear'], R is -6.80
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], 'relu'], R is -0.47
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], 'tanh'], R is -8.03
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], 'linear'], R is -9.53
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], 'relu'], R is -3.94
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 5], 'tanh'], R is -0.51
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 5], 'linear'], R is -4.32
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 5], 'relu'], R is -0.44
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 5], 'tanh'], R is -1.83
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 5], 'linear'], R is -2.14
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 5], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 5], 'tanh'], R is -1.83
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 5], 'linear'], R is -1.03
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 5], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 5], 'tanh'], R is -3.00
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 5], 'linear'], R is -7.68
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 5], 'relu'], R is -0.41
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 5], 'tanh'], R is -3.01
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 5], 'linear'], R is -11.28
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 5], 'relu'], R is -1.98
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 5], 'tanh'], R is -16.37
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 5], 'linear'], R is -2.60
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 5], 'relu'], R is -0.38
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 5], 'tanh'], R is -1.44
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 5], 'linear'], R is -3.77
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 5], 'relu'], R is -0.09
