For this combination [['tanh', 5], ['tanh', 5], ['tanh', 5], 'tanh'], R is -2.77
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 5], 'linear'], R is -5.14
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 5], 'relu'], R is -0.09
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 5], 'tanh'], R is -2.76
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 5], 'linear'], R is -2.94
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 5], 'relu'], R is -1.45
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 5], 'tanh'], R is -4.51
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 5], 'linear'], R is -2.52
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 5], 'relu'], R is -0.08
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 5], 'tanh'], R is -5.33
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 5], 'linear'], R is -8.24
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 5], 'relu'], R is -0.09
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 5], 'tanh'], R is -0.91
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 5], 'linear'], R is -2.62
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 5], 'relu'], R is -0.62
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 5], 'tanh'], R is -1.10
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 5], 'linear'], R is -2.64
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 5], 'relu'], R is -0.10
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 5], 'tanh'], R is -1.46
