A	B	C	y
-1.0	-1.0	-1.0	-0.6065197588425422
-1.0	-1.0	-0.9	-0.8138812386644787
-1.0	-1.0	-0.8	-0.9863534613488021
-1.0	-1.0	-0.7000000000000001	-1.1276637023906348
-1.0	-1.0	-0.6000000000000001	-1.2412276453237767
-1.0	-1.0	-0.5000000000000001	-1.3301834292006656
-1.0	-1.0	-0.40000000000000013	-1.3974229772793647
-1.0	-1.0	-0.30000000000000016	-1.4456208990311397
-1.0	-1.0	-0.20000000000000018	-1.4772612393001476
-1.0	-1.0	-0.1000000000000002	-1.4946623319045111
-1.0	-1.0	-2.220446049250313e-16	-1.5
-1.0	-1.0	0.09999999999999964	-1.2949958319441943
-1.0	-1.0	0.19999999999999973	-1.0799332443795133
-1.0	-1.0	0.2999999999999998	-0.8546614858168542
-1.0	-1.0	0.3999999999999997	-0.6189276274380953
-1.0	-1.0	0.49999999999999956	-0.3723740293990798
-1.0	-1.0	0.5999999999999996	-0.11453475389520662
-1.0	-1.0	0.6999999999999997	0.15516911733158656
-1.0	-1.0	0.7999999999999996	0.43743531833373606
-1.0	-1.0	0.8999999999999995	0.7330874609783766
-1.0	-1.0	0.9999999999999996	1.043083415760631
-1.0	-0.9	-1.0	-0.5065197588425421
-1.0	-0.9	-0.9	-0.7234138147474409
-1.0	-0.9	-0.8	-0.9055195801889235
-1.0	-0.9	-0.7000000000000001	-1.0565654000760059
-1.0	-0.9	-0.6000000000000001	-1.1799680386833462
-1.0	-0.9	-0.5000000000000001	-1.2788667272511791
-1.0	-0.9	-0.40000000000000013	-1.3561544927935474
-1.0	-0.9	-0.30000000000000016	-1.4145070602284031
-1.0	-0.9	-0.20000000000000018	-1.4564096016611243
-1.0	-0.9	-0.1000000000000002	-1.4841815901107254
-1.0	-0.9	-2.220446049250313e-16	-1.5
-1.0	-0.9	0.09999999999999964	-1.2845150901504088
-1.0	-0.9	0.19999999999999973	-1.0590816067404902
-1.0	-0.9	0.2999999999999998	-0.8235476470141174
-1.0	-0.9	0.3999999999999997	-0.5776591429522779
-1.0	-0.9	0.49999999999999956	-0.3210573274495938
-1.0	-0.9	0.5999999999999996	-0.05327514725477611
-1.0	-0.9	0.6999999999999997	0.22626741964621555
-1.0	-0.9	0.7999999999999996	0.5182691994936146
-1.0	-0.9	0.8999999999999995	0.8235548848954144
-1.0	-0.9	0.9999999999999996	1.143083415760631
-1.0	-0.8	-1.0	-0.40651975884254243
-1.0	-0.8	-0.9	-0.631933384715337
-1.0	-0.8	-0.8	-0.8228651034218206
-1.0	-0.8	-0.7000000000000001	-0.9830513823835851
-1.0	-0.8	-0.6000000000000001	-1.1159173044783992
-1.0	-0.8	-0.5000000000000001	-1.2246106202005813
-1.0	-0.8	-0.40000000000000013	-1.3120330811340175
-1.0	-0.8	-0.30000000000000016	-1.380869346853761
-1.0	-0.8	-0.20000000000000018	-1.4336137390901846
-1.0	-0.8	-0.1000000000000002	-1.4725951004474396
-1.0	-0.8	-2.220446049250313e-16	-1.5
-1.0	-0.8	0.09999999999999964	-1.2729286004871228
-1.0	-0.8	0.19999999999999973	-1.0362857441695503
-1.0	-0.8	0.2999999999999998	-0.7899099336394757
-1.0	-0.8	0.3999999999999997	-0.5335377312927481
-1.0	-0.8	0.49999999999999956	-0.266801220398996
-1.0	-0.8	0.5999999999999996	0.01077558695017089
-1.0	-0.8	0.6999999999999997	0.29978143733863627
-1.0	-0.8	0.7999999999999996	0.6009236762607175
-1.0	-0.8	0.8999999999999995	0.9150353149275179
-1.0	-0.8	0.9999999999999996	1.2430834157606307
-1.0	-0.7000000000000001	-1.0	-0.30651975884254234
-1.0	-0.7000000000000001	-0.9	-0.5392990856016988
-1.0	-0.7000000000000001	-0.8	-0.7381121079988477
-1.0	-0.7000000000000001	-0.7000000000000001	-0.9067196150610839
-1.0	-0.7000000000000001	-0.6000000000000001	-1.048572020771074
-1.0	-0.7000000000000001	-0.5000000000000001	-1.1668434557347411
-1.0	-0.7000000000000001	-0.40000000000000013	-1.2644631416604881
-1.0	-0.7000000000000001	-0.30000000000000016	-1.3441443408217797
-1.0	-0.7000000000000001	-0.20000000000000018	-1.4084111543949853
-1.0	-0.7000000000000001	-0.1000000000000002	-1.4596234270243287
-1.0	-0.7000000000000001	-2.220446049250313e-16	-1.4999999999999998
-1.0	-0.7000000000000001	0.09999999999999964	-1.259956927064012
-1.0	-0.7000000000000001	0.19999999999999973	-1.0110831594743512
-1.0	-0.7000000000000001	0.2999999999999998	-0.753184927607494
-1.0	-0.7000000000000001	0.3999999999999997	-0.48596779181921956
-1.0	-0.7000000000000001	0.49999999999999956	-0.20903405593315538
-1.0	-0.7000000000000001	0.5999999999999996	0.07812087065749607
-1.0	-0.7000000000000001	0.6999999999999997	0.3761132046611375
-1.0	-0.7000000000000001	0.7999999999999996	0.68567667168369
-1.0	-0.7000000000000001	0.8999999999999995	1.0076696140411565
-1.0	-0.7000000000000001	0.9999999999999996	1.3430834157606308
-1.0	-0.6000000000000001	-1.0	-0.20651975884254226
-1.0	-0.6000000000000001	-0.9	-0.44532710615383353
-1.0	-0.6000000000000001	-0.8	-0.6508932672977763
-1.0	-0.6000000000000001	-0.7000000000000001	-0.8270318928050642
-1.0	-0.6000000000000001	-0.6000000000000001	-0.97724956814161
-1.0	-0.6000000000000001	-0.5000000000000001	-1.104780098442149
-1.0	-0.6000000000000001	-0.40000000000000013	-1.2126160868852873
-1.0	-0.6000000000000001	-0.30000000000000016	-1.3035380994752348
-1.0	-0.6000000000000001	-0.20000000000000018	-1.3801416907475819
-1.0	-0.6000000000000001	-0.1000000000000002	-1.4448625484101874
-1.0	-0.6000000000000001	-2.220446049250313e-16	-1.4999999999999998
-1.0	-0.6000000000000001	0.09999999999999964	-1.245196048449871
-1.0	-0.6000000000000001	0.19999999999999973	-0.9828136958269478
-1.0	-0.6000000000000001	0.2999999999999998	-0.7125786862609491
-1.0	-0.6000000000000001	0.3999999999999997	-0.43412073704401877
-1.0	-0.6000000000000001	0.49999999999999956	-0.14697069864056367
-1.0	-0.6000000000000001	0.5999999999999996	0.14944332328695964
-1.0	-0.6000000000000001	0.6999999999999997	0.4558009269171568
-1.0	-0.6000000000000001	0.7999999999999996	0.7728955123847614
-1.0	-0.6000000000000001	0.8999999999999995	1.101641593489021
-1.0	-0.6000000000000001	0.9999999999999996	1.4430834157606305
-1.0	-0.5000000000000001	-1.0	-0.10651975884254217
-1.0	-0.5000000000000001	-0.9	-0.3497679699326248
-1.0	-0.5000000000000001	-0.8	-0.5607026388473195
-1.0	-0.5000000000000001	-0.7000000000000001	-0.7432359090630929
-1.0	-0.5000000000000001	-0.6000000000000001	-0.9009816007102238
-1.0	-0.5000000000000001	-0.5000000000000001	-1.037290210387213
-1.0	-0.5000000000000001	-0.40000000000000013	-1.1552812605345637
-1.0	-0.5000000000000001	-0.30000000000000016	-1.2578732953873755
-1.0	-0.5000000000000001	-0.20000000000000018	-1.3478118025962718
-1.0	-0.5000000000000001	-0.1000000000000002	-1.4276953234413183
-1.0	-0.5000000000000001	-2.220446049250313e-16	-1.4999999999999998
-1.0	-0.5000000000000001	0.09999999999999964	-1.228028823481002
-1.0	-0.5000000000000001	0.19999999999999973	-0.9504838076756377
-1.0	-0.5000000000000001	0.2999999999999998	-0.6669138821730898
-1.0	-0.5000000000000001	0.3999999999999997	-0.3767859106932949
-1.0	-0.5000000000000001	0.49999999999999956	-0.07948081058562773
-1.0	-0.5000000000000001	0.5999999999999996	0.22571129071834584
-1.0	-0.5000000000000001	0.6999999999999997	0.5395969106591281
-1.0	-0.5000000000000001	0.7999999999999996	0.8630861408352182
-1.0	-0.5000000000000001	0.8999999999999995	1.1972007297102296
-1.0	-0.5000000000000001	0.9999999999999996	1.5430834157606306
-1.0	-0.40000000000000013	-1.0	-0.006519758842542078
-1.0	-0.40000000000000013	-0.9	-0.25226452921856524
-1.0	-0.40000000000000013	-0.8	-0.46680323494137443
-1.0	-0.40000000000000013	-0.7000000000000001	-0.6542165841243299
-1.0	-0.40000000000000013	-0.6000000000000001	-0.8183076076866624
-1.0	-0.40000000000000013	-0.5000000000000001	-0.9626389612343411
-1.0	-0.40000000000000013	-0.40000000000000013	-1.090567820434511
-1.0	-0.40000000000000013	-0.30000000000000016	-1.2052786919635134
-1.0	-0.40000000000000013	-0.20000000000000018	-1.3098144467020207
-1.0	-0.40000000000000013	-0.1000000000000002	-1.4071058684599917
-1.0	-0.40000000000000013	-2.220446049250313e-16	-1.4999999999999998
-1.0	-0.40000000000000013	0.09999999999999964	-1.2074393684996754
-1.0	-0.40000000000000013	0.19999999999999973	-0.9124864517813869
-1.0	-0.40000000000000013	0.2999999999999998	-0.6143192787492282
-1.0	-0.40000000000000013	0.3999999999999997	-0.3120724705932423
-1.0	-0.40000000000000013	0.49999999999999956	-0.004829561432755813
-1.0	-0.40000000000000013	0.5999999999999996	0.30838528374190766
-1.0	-0.40000000000000013	0.6999999999999997	0.6286162355978915
-1.0	-0.40000000000000013	0.7999999999999996	0.9569855447411628
-1.0	-0.40000000000000013	0.8999999999999995	1.2947041704242896
-1.0	-0.40000000000000013	0.9999999999999996	1.643083415760631
-1.0	-0.30000000000000016	-1.0	0.09348024115745757
-1.0	-0.30000000000000016	-0.9	-0.15226470056612795
-1.0	-0.30000000000000016	-0.8	-0.3680313523106191
-1.0	-0.30000000000000016	-0.7000000000000001	-0.5581753226405695
-1.0	-0.30000000000000016	-0.6000000000000001	-0.7268210201539806
-1.0	-0.30000000000000016	-0.5000000000000001	-0.8779059867058314
-1.0	-0.30000000000000016	-0.40000000000000013	-1.0152238278467767
